R001
R002 J1,J2
R003 J3,J4
R004 J5,J6
R005 J7,J8
R006 J9,J10,J11
R007 J12,J13,J14,J15
R008 J16,J17,J18
R009 J19,J20
R010 I1,I2
R011 I3,I4,I5
R012 I6
R013 I7,I8,I9
R014 I10,I11,I12
R015 I13,I14,I15
R016 I16,I17,I18
R017 I19,I20
R018 H1,H2,H3
R019 H4,H5,H6,H7,H8
R020 H9,H10
R021 H11,H12
R022 H13,H14
R023 H15,H16
R024 H17,H18,H19
R025 G1,G2,G3
R026 H20
R027 G4,G5,G6,G7,G8,G9,G10,G11,G12
R028 G13,G14
R029 G15,G16
R030 G17,G18
R031 G19
R032 F1,F2,F3
R033 F4,F5,F6,F7
R034 F8,F9,F10,F11
R035 F12,F13,F14
R036 G20
R037 F15,F16
R038 F17,F18
R039 E1,E2,E3,E4
R040 E5,E6,E7,E8,E9,E10,E11,E12,E13
